trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-86.36938489337213,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.5}",20,0,-157.60747558254465,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.3333333333333333}",30,0,-109.99747780555519,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.25}",20,0,-98.6159186818403,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.2}",25,0,-156.64523066778114,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.16666666666666666}",25,0,-64.53837049028665,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.14285714285714285}",20,0,-5.28899154611308,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.125}",25,0,-10.81497117264123,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.1111111111111111}",20,0,-18.439462546970315,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.1}",20,6,20.11948742208585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.1, 'e': 0.09090909090909091}",30,16,-36.28365960753745,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.1, 'e': 0.08333333333333333}",25,9,-63.17868882928787,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.07692307692307693}",20,9,-28.553879165782437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.07142857142857142}",25,0,-39.97079282541715,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.06666666666666667}",30,0,-144.98239886483063,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 4}",0
16,False,"{'a': 0.1, 'e': 0.0625}",35,13,-31.99938186381035,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.1, 'e': 0.058823529411764705}",25,0,-64.92637124245222,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.05555555555555555}",20,0,-15.33038816819614,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.05263157894736842}",25,0,-125.70329556487302,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.1, 'e': 0.05}",25,0,-95.38507297725234,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.047619047619047616}",20,9,-71.45976529830192,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-55.3296198889038,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-13.432225195269748,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-12.465439317058605,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,26.681982590577235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-30.193821087586443,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-75.07228710265264,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,20,5.745841374381893,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,28.399246155074472,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,1,-18.39429667252042,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,-47.985455167469276,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
