trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-218.63565400026587,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-389.67766116132105,"{0: 11, 1: 0, 2: 10, 3: 3, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-237.51052130980224,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-130.79982375611883,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-185.0542990620994,"{0: 7, 1: 0, 2: 11, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-336.8925609150985,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,18,-10.33715207222933,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,13,-77.117121933043,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-183.93629990644445,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-148.9605556396654,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-114.37040331676423,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-78.89913604538992,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-171.81226351569993,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-26.23111312088542,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-105.05370010644573,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-159.4908132794129,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-206.88239225557214,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-181.7914440734334,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-217.98056902581132,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
