trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-80.06059112331423,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-177.98321324606692,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-137.33184627927386,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-105.94163981362446,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-173.5536652436705,"{0: 14, 1: 0, 2: 5, 3: 5, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,3,-21.679326753783005,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-205.52204016526807,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-184.81703297388222,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,13,0.4752049776007461,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,3.48543575923906,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-123.07090505427068,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,13,-11.298470167528869,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-75.56875941077392,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-47.90497955845369,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-77.38649768494182,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,13,-18.39975759126779,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,20.82159099249884,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-72.90601803763866,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-165.82208552685665,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 4}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,0.3185269211402617,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,5.921062023498903,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,5.42473320430145,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,0,-9.464442851525213,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,4,-45.22694019787084,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",35,0,-168.8672933204291,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 5}",0
6,True,"{'a': 0, 'e': 0}",20,0,-59.65403938551838,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,12,-70.8681265676867,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",30,22,-21.60302515128795,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-54.29449979310572,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-57.101587539059416,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",20,0,-16.620921241693324,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,0,-27.476985510032918,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,0,7.097339868286055,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,0,-47.44084629015605,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",30,0,-88.4110330311438,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,True,"{'a': 0, 'e': 0}",25,13,6.579081422090913,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,0,-21.68929111085423,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",30,0,-66.50341452467676,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",20,0,15.660832773239829,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",30,0,-34.85554250818843,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
