trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-95.63704462032632,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-156.74789939445992,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-193.72431966356976,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-162.37249127541295,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-228.35404213449834,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,5,-170.22755427668022,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-102.81375314357422,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-73.31647941592657,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,8,-47.065929850519595,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,1,-26.854117381921373,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,12,-58.70557585199755,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-77.86787344954696,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-71.74599061993567,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-60.77869694269689,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,5,-56.59587197973081,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-91.98711934751216,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-36.42839235327023,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,14,15.639430860300605,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,4,-85.7841902945286,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,5.868416902395148,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-44.29290915653289,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,8,-63.53625737681498,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,13,11.59199395052268,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-22.348050412450505,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,16,7.939980299942971,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-24.533328906363607,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,25.82254399096567,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,10,-6.219739959337371,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-117.1437819713138,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,10,10.889021842250989,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
