trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-185.41580837522588,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.5}",20,12,-45.53511393271115,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.7, 'e': 0.3333333333333333}",25,0,-84.85834336741877,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.25}",30,0,-127.32187758295117,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.2}",20,0,-58.618102093811366,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.16666666666666666}",20,0,-41.27525153456747,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.14285714285714285}",20,0,-29.359020359197586,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.125}",25,0,-34.69557695365514,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.1111111111111111}",25,0,-12.574556207930364,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.1}",25,0,-52.65606819811442,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.09090909090909091}",20,4,-60.51633535779984,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 0.7, 'e': 0.08333333333333333}",30,15,-56.62648446198848,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 1}",1
13,False,"{'a': 0.7, 'e': 0.07692307692307693}",25,0,-31.31541912902248,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.07142857142857142}",20,0,-10.235665822297126,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.06666666666666667}",20,16,6.391436118738589,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.0625}",25,7,-82.48150131873531,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.7, 'e': 0.058823529411764705}",20,5,-18.632027803167755,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.7, 'e': 0.05555555555555555}",30,14,-24.446355165097913,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.7, 'e': 0.05263157894736842}",20,13,-18.80110252351192,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.05}",20,0,-14.326150098109185,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.047619047619047616}",20,0,-30.74235516451027,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.045454545454545456}",20,14,10.744559551946647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.043478260869565216}",25,10,-14.967699144839688,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.041666666666666664}",20,0,11.96070344548608,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.04}",25,6,-44.73331604626368,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
26,False,"{'a': 0.7, 'e': 0.038461538461538464}",25,9,-20.55674620958618,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.7, 'e': 0.037037037037037035}",25,7,9.00643354371188,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.03571428571428571}",20,13,13.106253685261926,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 0.034482758620689655}",25,0,-22.217678597362667,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.7, 'e': 0.03333333333333333}",30,0,-92.19027927077234,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
31,False,"{'a': 0.7, 'e': 0.03225806451612903}",25,6,11.932037094397522,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.03125}",20,0,15.415321905621232,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.030303030303030304}",20,9,-23.73396427742771,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.7, 'e': 0.029411764705882353}",20,0,-9.35182206400294,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
35,False,"{'a': 0.7, 'e': 0.02857142857142857}",35,25,17.37959223673181,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.7, 'e': 0.027777777777777776}",20,13,11.014024240558818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.02702702702702703}",25,8,-15.148524880253266,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.7, 'e': 0.02631578947368421}",20,14,9.591226713049531,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.02564102564102564}",20,0,5.420466567949994,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
40,False,"{'a': 0.7, 'e': 0.025}",20,2,-27.90497736221321,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.7, 'e': 0.024390243902439025}",20,0,20.024647064897596,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.023809523809523808}",25,6,-64.76246544267799,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
43,False,"{'a': 0.7, 'e': 0.023255813953488372}",20,10,11.3916322495172,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.022727272727272728}",30,10,38.935299706322496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.022222222222222223}",20,13,13.873352220078448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.021739130434782608}",35,10,23.014574888572746,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.02127659574468085}",30,23,10.43974090071372,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.020833333333333332}",20,4,-15.732824431982971,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,0,-9.92027114127682,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.02}",25,18,-28.948893520620267,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.7, 'e': 0.0196078431372549}",30,10,27.127415578629744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.019230769230769232}",20,8,-3.8830046738252353,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.018867924528301886}",35,23,-19.262497610708305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.7, 'e': 0.018518518518518517}",20,7,2.812604450810169,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.01818181818181818}",35,22,11.454938298096241,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.017857142857142856}",25,14,17.38471447156813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.017543859649122806}",20,5,24.912269245251505,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
