trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-277.0673673140565,"{0: 7, 1: 0, 2: 8, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,0,-87.84390353283808,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-46.583351144864274,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.25}",25,0,-43.95007757953949,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.2}",30,0,-134.17169438056237,"{0: 21, 1: 0, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.16666666666666666}",25,11,-34.11337036119703,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.14285714285714285}",20,0,-80.46340299114499,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.125}",20,11,-0.3092842298383598,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-98.4357443735393,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.1}",20,0,-40.97219125528409,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.09090909090909091}",25,0,-70.46764803806529,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.08333333333333333}",20,6,-40.41429727850809,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.07692307692307693}",30,0,-36.25754997986664,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.07142857142857142}",25,3,-116.31105101096118,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.06666666666666667}",25,0,2.7324725191239096,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0625}",35,24,19.471824855860202,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.058823529411764705}",20,0,-24.385535371156376,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.05555555555555555}",25,0,-19.57626659932169,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.05263157894736842}",25,9,0.5256343488876702,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.05}",20,0,6.842369691228132,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.047619047619047616}",20,0,-70.13850990852968,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,3.2040502311377095,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-15.418197330010736,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-37.45508440090874,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",35,0,-25.17398664178924,"{0: 32, 1: 1, 2: 0, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,11,14.880944516564675,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,27.443980068748083,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-17.883115618906867,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,5,-64.89679579707526,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,15,-3.0820763400740745,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,-17.884748015813262,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
