trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9950041652780258}",30,0,-211.64538148172608,"{0: 12, 1: 5, 2: 10, 3: 1, 4: 2}",0
2,False,"{'a': 0.7, 'e': 0.9800665778412416}",20,0,-159.30921214684733,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.955336489125606}",35,0,-337.92836855101336,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 6}",0
4,False,"{'a': 0.7, 'e': 0.9210609940028851}",25,0,-219.34995687025102,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.7, 'e': 0.8775825618903728}",25,0,-190.42954400244008,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.7, 'e': 0.8253356149096783}",25,0,-76.28314125193916,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.7648421872844885}",25,3,-131.7507140616746,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 2}",1
8,False,"{'a': 0.7, 'e': 0.6967067093471654}",20,0,-115.59531367754457,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.6216099682706644}",20,0,-177.3829833687595,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.5403023058681398}",20,0,-58.97655719626518,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.4535961214255773}",25,0,-69.47548600862861,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.3623577544766736}",20,2,-32.51243512447839,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.7, 'e': 0.26749882862458735}",20,0,-69.12425662697763,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.16996714290024104}",25,7,22.046484133178435,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.0707372016677029}",25,18,12.439852910257347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': -0.029199522301288815}",25,7,-11.192917755426864,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.7, 'e': -0.12884449429552464}",20,0,6.166895622764915,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': -0.2272020946930871}",25,0,34.882850871088976,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': -0.32328956686350335}",20,0,33.06159517670905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': -0.4161468365471424}",35,20,31.36194548173239,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,8,12.865262058117992,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,23.523538637389613,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,10,17.532522773787502,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,15.185202177622347,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,19,27.51569326472351,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,12.429348906506213,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,10,18.84209100155619,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,-56.54507318770722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,6,2.6425454330969926,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,23.214250042096655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
