trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9999500004166653}",20,15,-3.6512656819644,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.7, 'e': 0.9998000066665778}",25,0,-101.20155166990016,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.9995500337489875}",20,0,-205.67277527262615,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.7, 'e': 0.9992001066609779}",20,0,-144.36636315794124,"{0: 10, 1: 0, 2: 5, 3: 5, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.9987502603949663}",20,0,-178.24920875601498,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.9982005399352042}",25,2,-128.56406036963085,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 2}",1
7,False,"{'a': 0.7, 'e': 0.9975510002532796}",25,0,-178.78913591590816,"{0: 12, 1: 0, 2: 9, 3: 3, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.9968017063026194}",25,0,-175.78678826039987,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
9,False,"{'a': 0.7, 'e': 0.9959527330119943}",25,10,-86.33439324580523,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.7, 'e': 0.9950041652780258}",30,0,-219.66350993133068,"{0: 15, 1: 0, 2: 10, 3: 3, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.9939560979566968}",30,6,-304.55055356483535,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 5}",1
12,False,"{'a': 0.7, 'e': 0.9928086358538663}",20,0,-115.19143326459707,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.9915618937147881}",25,0,-196.06262482891452,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.7, 'e': 0.9902159962126371}",20,0,-44.62482334804321,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.9887710779360422}",25,0,-201.99891374526777,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.9872272833756269}",20,0,-194.47803702948494,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.7, 'e': 0.9855847669095608}",25,0,-70.55290443434781,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.9838436927881214}",30,0,-160.36239008389882,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.7, 'e': 0.9820042351172703}",25,0,-157.0709578340804,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.9800665778412416}",25,16,-33.46180696068506,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.9780309147241483}",20,0,-172.2418270370036,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
22,False,"{'a': 0.7, 'e': 0.9758974493306055}",25,0,-228.76611997278107,"{0: 11, 1: 0, 2: 10, 3: 1, 4: 3}",0
23,False,"{'a': 0.7, 'e': 0.9736663950053749}",20,0,-184.96695725066505,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
