trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9999218760172474}",30,11,-91.61853063592815,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.9996875162757026}",20,0,-84.45346597322565,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.9992969573935987}",25,0,-237.44062648858005,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
4,False,"{'a': 0.8, 'e': 0.9987502603949663}",30,0,-41.99862225523635,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.9980475107000991}",20,0,-75.45458555904797,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.9971888181122075}",25,0,-214.31386726030743,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.996174316800261}",30,0,-172.44072368361924,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.8, 'e': 0.9950041652780258}",20,6,-58.20314657766281,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.9936785463792964}",20,0,-145.9425003391076,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.992197667229329}",20,0,-140.1001505199958,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.9905617592124779}",25,0,-153.68158548000926,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9887710779360422}",25,0,-171.98651955631536,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.9868259031903286}",20,0,-97.59377897204769,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.9847265389049334}",20,0,-85.97495114129792,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.9824733131012553}",25,0,-104.50196007221113,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.9800665778412416}",20,0,-81.30403922533976,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.9775067091723805}",30,0,-254.2154009106122,"{0: 14, 1: 0, 2: 11, 3: 2, 4: 3}",0
18,False,"{'a': 0.8, 'e': 0.9747941070689433}",25,7,-197.02085395553283,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 3}",1
19,False,"{'a': 0.8, 'e': 0.97192919536949}",25,0,-209.20978978121357,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
20,False,"{'a': 0.8, 'e': 0.9689124217106447}",20,0,-62.01127067732027,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.8, 'e': 0.9657442574571544}",20,0,-107.04775603596828,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.8, 'e': 0.962425197628238}",25,0,-140.52089775307667,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
23,False,"{'a': 0.8, 'e': 0.9589557608202409}",20,0,-267.05793957008177,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 5}",0
24,False,"{'a': 0.8, 'e': 0.955336489125606}",20,0,-85.74596380698401,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.9515679480481722}",20,0,-102.12983929738431,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
26,False,"{'a': 0.8, 'e': 0.9476507264148157}",25,18,-40.090849315700616,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.8, 'e': 0.9435854362834473}",35,0,-249.4440788720134,"{0: 20, 1: 0, 2: 11, 3: 0, 4: 4}",0
