trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-185.68743242313047,"{0: 10, 1: 0, 2: 4, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-112.90761829445081,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-112.43259680330858,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9950041652780258}",25,0,-98.58122252253091,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.992197667229329}",20,16,5.889177542089893,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-101.79936889936586,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9847265389049334}",25,0,-103.87086696893549,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9800665778412416}",30,4,-171.2368145729387,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-176.6092428598939,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,0,-295.04080602991564,"{0: 8, 1: 0, 2: 4, 3: 3, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.962425197628238}",35,0,-320.5066138760305,"{0: 18, 1: 0, 2: 10, 3: 2, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-242.15371926356218,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9476507264148157}",20,0,-133.36248602794527,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9393727128473789}",35,11,-172.9708892591941,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9305076219123143}",20,6,-87.24284565944734,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-99.42128396611291,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9110387329540337}",25,19,1.489030936218289,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9004471023526769}",20,0,-85.60374965557014,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8892927216231682}",25,10,-13.820644879495378,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-116.49930725457016,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8653239416229412}",30,0,-124.35667676121304,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,8,-49.13588961131996,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8391923024206541}",20,5,-50.701242690908344,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,0,-80.6526276131386,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8109631195052179}",20,0,-108.60031163628062,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
