trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-109.97408783187191,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9987502603949663}",20,0,-155.01930743030385,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-117.99195675482902,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9950041652780258}",20,0,-204.21643738936035,"{0: 8, 1: 0, 2: 7, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.992197667229329}",30,0,-298.9572983446,"{0: 13, 1: 0, 2: 11, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-140.87405641808596,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-109.2997394158857,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9800665778412416}",30,16,-167.68645205326763,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 4}",1
9,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-98.33293037020691,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9689124217106447}",20,8,-15.973763087552365,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.962425197628238}",25,0,-145.27139714192796,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-173.85526139882344,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9476507264148157}",20,0,-40.86869201653184,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,11,12.99383391740325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9305076219123143}",25,0,-284.1642304027862,"{0: 10, 1: 1, 2: 7, 3: 3, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-128.90972361499212,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9110387329540337}",25,0,-149.58854883745568,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9004471023526769}",20,0,-178.54137475025232,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.8892927216231682}",25,0,-194.34130994886416,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-86.0261922066151,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8653239416229412}",30,0,-288.4807643151374,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 5}",0
22,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,0,-162.31977248410942,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8391923024206541}",20,0,-66.64328316684542,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,0,-106.69923121622843,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8109631195052179}",25,0,-136.46245407279338,"{0: 13, 1: 0, 2: 9, 3: 3, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7960837985490559}",20,0,-222.93933177448804,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.7807069511324468}",25,3,-28.666971124032287,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7648421872844885}",25,0,-70.63327993323414,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7484994219661651}",20,0,-50.09678652043286,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7316888688738209}",25,0,-86.05133015371435,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7144210340559314}",25,13,-15.262336300793372,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.6967067093471654}",20,0,-93.33102111979164,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.6785569656238399}",20,0,-42.53862628824799,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6599831458849822}",25,0,-134.81236804914067,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.6409968581633251}",20,0,-58.11057883407941,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
