trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-187.11648170191444,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-223.7234583916018,"{0: 9, 1: 0, 2: 13, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-87.12680081849024,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-81.92579673874819,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-95.2878971203854,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-172.71755438989683,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-196.54817844486993,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-1.3037167011125157,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-77.8759937697652,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-277.37031761746323,"{0: 14, 1: 0, 2: 11, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-131.90246477681796,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-149.5534453813436,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-237.3709057455693,"{0: 15, 1: 0, 2: 11, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-183.18319473622856,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
