trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.94419844953029,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,23,-2.69404407123636,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.60494593212937,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.46981804099022,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-366.79406566536534,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 6}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.61788893445726,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.9374437636479,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-250.42471930216908,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,26,-18.663364397366525,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.57981846360312,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.13230230414283,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.07432337143956,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-277.5688481616234,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,10,-117.02251380341971,"{0: 5, 1: 0, 2: 8, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.80770960203976,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,15,-126.45051804541274,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.02074539830033,"{0: 14, 1: 0, 2: 13, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.3949270784208,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-240.03442367043803,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.485980535188446,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.38200058296735,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,3,-105.03296763490974,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.47932328741373,"{0: 18, 1: 0, 2: 11, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-274.5161838854686,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.0973148419426,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,3,-99.5131168666985,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.1427014137344,"{0: 18, 1: 0, 2: 9, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.04493859257575,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.87091328912533,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.0486119013026,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
